"collectionCode","catalogNumber","verbatimWaterBody","Waterbody","verbatimIslandGroup","IslandGroup","verbatimIsland","Island","verbatimCounty","County"
"Fish","11116",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11127",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11118",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11091",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","10778",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11102",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11124",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11106",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11122",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11099",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11110",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11109",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11090",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11098",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11123",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11120",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11113",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11108",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11125",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11095",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11088",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11094",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11111",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11089",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11093",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11107",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11104",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11097",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11096",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11101",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11103",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11115",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11126",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11121",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11105",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11100",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","107209",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","107203",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","107202",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","107204",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","107205",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","107206",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","107208",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","107201",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","107210",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","107196",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","107197",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","107198",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","107199",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","107200",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","107207",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
